Lmod Warning: Input module (gcc) not found, using module: GCC . . . (ICER v.) 
   20, 0.00012
   20, 0.000126
   20, 0.000135
   20, 0.000122
   20, 0.000123
   20, 0.000134
   20, 0.000118
   20, 0.00012
   20, 0.000129
   20, 0.000102
   20, 0.000127
   20, 0.000121
   20, 0.000112
   20, 0.000115
   20, 0.000132
   20, 0.000128
   20, 0.000114
   20, 0.000115
   20, 0.000126
   20, 0.00011
   20, 0.000115
   20, 8.8e-05
   20, 0.000123
   20, 0.000122
   20, 0.000108
   20, 0.000119
   20, 0.000124
   20, 0.000119
   20, 0.000128
   20, 0.000124
   20, 0.000195
   20, 0.000193
   20, 0.000122
Running code with OMP_NUM_THREADS= 4
  N=  , time (s)
   20, 0.000242
   20, 7.7e-05
   20, 6.9e-05
   20, 7.3e-05
   20, 7e-05
   20, 7.2e-05
   20, 6.9e-05
   20, 7.1e-05
   20, 7e-05
   20, 7.3e-05
   20, 7.2e-05
   20, 6.9e-05
   20, 7e-05
   20, 6.8e-05
   20, 7.2e-05
   20, 7.2e-05
   20, 6.7e-05
   20, 7.3e-05
   20, 6.5e-05
   20, 6.7e-05
   20, 6.6e-05
   20, 7e-05
   20, 6.7e-05
   20, 7e-05
   20, 7e-05
   20, 8.6e-05
   20, 5.4e-05
   20, 5.1e-05
   20, 6.6e-05
   20, 7e-05
   20, 6.8e-05
   20, 6.7e-05
   20, 7e-05
   20, 6.3e-05
   20, 6.9e-05
   20, 5.9e-05
   20, 6.9e-05
   20, 6.9e-05
   20, 6.8e-05
   20, 7e-05
   20, 6.7e-05
   20, 6.8e-05
   20, 7.1e-05
   20, 7e-05
   20, 6.7e-05
   20, 6.9e-05
   20, 4.8e-05
   20, 6.9e-05
   20, 6.6e-05
   20, 6.7e-05
   20, 6.6e-05
   20, 6.8e-05
   20, 6.6e-05
   20, 6.7e-05
   20, 6.6e-05
   20, 6.3e-05
   20, 6.9e-05
   20, 7e-05
   20, 6.7e-05
   20, 6.8e-05
   20, 7e-05
   20, 6.9e-05
   20, 6.9e-05
   20, 6.4e-05
   20, 6.5e-05
   20, 6.2e-05
   20, 5.5e-05
   20, 6.8e-05
   20, 6.8e-05
   20, 6.6e-05
   20, 6.8e-05
   20, 6.8e-05
   20, 6.7e-05
   20, 6.7e-05
   20, 7e-05
   20, 6.9e-05
   20, 4.8e-05
   20, 6.9e-05
   20, 6.6e-05
   20, 6.7e-05
   20, 6.8e-05
   20, 6.9e-05
   20, 6.7e-05
   20, 4.8e-05
   20, 6.8e-05
   20, 6.6e-05
   20, 6.6e-05
   20, 6.9e-05
   20, 6.8e-05
   20, 4.9e-05
   20, 6.5e-05
   20, 6.7e-05
   20, 6.9e-05
   20, 6.6e-05
   20, 7e-05
   20, 6.9e-05
   20, 6.6e-05
   20, 6.9e-05
   20, 6.7e-05
   20, 6.8e-05
Running code with OMP_NUM_THREADS= 8
  N=  , time (s)
   20, 0.000335
   20, 4.8e-05
   20, 4.5e-05
   20, 4.6e-05
   20, 4.4e-05
   20, 4.8e-05
   20, 4.6e-05
   20, 4.6e-05
   20, 4.4e-05
   20, 6.2e-05
   20, 4.3e-05
   20, 4.6e-05
   20, 4.5e-05
   20, 4.5e-05
   20, 4.6e-05
   20, 4.8e-05
   20, 4.6e-05
   20, 4.6e-05
   20, 4.5e-05
   20, 4.5e-05
   20, 4.6e-05
   20, 3.4e-05
   20, 5.2e-05
   20, 4.6e-05
   20, 4.6e-05
   20, 4.9e-05
   20, 4.5e-05
   20, 4.2e-05
   20, 4.1e-05
   20, 4.7e-05
   20, 4.5e-05
   20, 4.7e-05
   20, 4.8e-05
   20, 4.4e-05
   20, 4.6e-05
   20, 4.6e-05
   20, 4.5e-05
   20, 4.7e-05
   20, 4.6e-05
   20, 4.7e-05
   20, 4.6e-05
   20, 4.6e-05
   20, 4.9e-05
   20, 4.6e-05
   20, 4.6e-05
   20, 3.6e-05
   20, 3.7e-05
   20, 3.9e-05
   20, 3.7e-05
   20, 3.5e-05
   20, 3.5e-05
   20, 4.7e-05
   20, 4.5e-05
   20, 4.7e-05
   20, 4e-05
   20, 4.4e-05
   20, 4.1e-05
   20, 4.5e-05
   20, 4.7e-05
   20, 4.6e-05
   20, 4.6e-05
   20, 4.7e-05
   20, 4.6e-05
   20, 3.6e-05
   20, 4.5e-05
   20, 4.4e-05
   20, 4.6e-05
   20, 4.6e-05
   20, 4.6e-05
   20, 4.3e-05
   20, 4.2e-05
   20, 4.7e-05
   20, 4.2e-05
   20, 4.5e-05
   20, 4.5e-05
   20, 4.5e-05
   20, 4.5e-05
   20, 4.4e-05
   20, 4.3e-05
   20, 4.3e-05
   20, 4.3e-05
   20, 4.4e-05
   20, 4.4e-05
   20, 4.6e-05
   20, 4.9e-05
   20, 4.5e-05
   20, 4.4e-05
   20, 4.5e-05
   20, 4.6e-05
   20, 4.5e-05
   20, 4.6e-05
   20, 4.5e-05
   20, 4.3e-05
   20, 4.6e-05
   20, 4.3e-05
   20, 4.3e-05
   20, 4.6e-05
   20, 3.9e-05
   20, 4.5e-05
   20, 4.4e-05
Running code with OMP_NUM_THREADS= 12
  N=  , time (s)
   20, 0.001519
   20, 4.1e-05
   20, 3.9e-05
   20, 3.2e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 3.5e-05
   20, 3.1e-05
   20, 2.9e-05
   20, 4e-05
   20, 3.9e-05
   20, 3.7e-05
   20, 4.4e-05
   20, 3.8e-05
   20, 3.9e-05
   20, 3.9e-05
   20, 3e-05
   20, 3.9e-05
   20, 3.8e-05
   20, 4e-05
   20, 4e-05
   20, 4e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 2.9e-05
   20, 3.9e-05
   20, 4e-05
   20, 3.9e-05
   20, 2.9e-05
   20, 2.8e-05
   20, 4e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 3.9e-05
   20, 2.9e-05
   20, 3.9e-05
   20, 3.8e-05
   20, 3.9e-05
   20, 3.9e-05
   20, 2.7e-05
   20, 3.7e-05
   20, 3.9e-05
   20, 5e-05
   20, 3.7e-05
   20, 3.7e-05
   20, 3.9e-05
   20, 3.7e-05
   20, 3e-05
   20, 3.9e-05
   20, 3.9e-05
   20, 3.7e-05
   20, 3.7e-05
   20, 3.7e-05
   20, 3.8e-05
   20, 2.9e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 3.7e-05
   20, 3.8e-05
   20, 3.9e-05
   20, 3.9e-05
   20, 3.7e-05
   20, 3.9e-05
   20, 3.7e-05
   20, 3.9e-05
   20, 3.7e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 3.7e-05
   20, 3.7e-05
   20, 2.9e-05
   20, 3.2e-05
   20, 3.7e-05
   20, 3.4e-05
   20, 5.2e-05
   20, 2.9e-05
   20, 3.8e-05
   20, 3e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 3.9e-05
   20, 3.9e-05
   20, 3e-05
   20, 3.9e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 3.7e-05
   20, 3.6e-05
   20, 3.8e-05
   20, 4e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 4e-05
   20, 3.8e-05
   20, 3.7e-05
   20, 3.6e-05
   20, 3.6e-05
Running code with OMP_NUM_THREADS= 16
  N=  , time (s)
   20, 0.000461
   20, 3.5e-05
   20, 3.4e-05
   20, 3.7e-05
   20, 3.7e-05
   20, 3.6e-05
   20, 3.5e-05
   20, 3.7e-05
   20, 3.4e-05
   20, 3.7e-05
   20, 3.4e-05
   20, 3.3e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 3.7e-05
   20, 3.7e-05
   20, 3.6e-05
   20, 3.7e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 4.5e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 3.7e-05
   20, 3.6e-05
   20, 3.6e-05
   20, 3.5e-05
   20, 3.7e-05
   20, 3.6e-05
   20, 3.6e-05
   20, 3.6e-05
   20, 3.5e-05
   20, 3.6e-05
   20, 3.9e-05
   20, 3.7e-05
   20, 3.4e-05
   20, 3.7e-05
   20, 3.6e-05
   20, 3.5e-05
   20, 3.6e-05
   20, 3.7e-05
   20, 3.6e-05
   20, 3.9e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 3.6e-05
   20, 3.7e-05
   20, 3.6e-05
   20, 4.4e-05
   20, 3.6e-05
   20, 3.8e-05
   20, 3.7e-05
   20, 3.8e-05
   20, 3.6e-05
   20, 3.5e-05
   20, 3.8e-05
   20, 3.5e-05
   20, 3.7e-05
   20, 3.8e-05
   20, 3.7e-05
   20, 3.6e-05
   20, 3.7e-05
   20, 3.5e-05
   20, 3.7e-05
   20, 3.4e-05
   20, 3.6e-05
   20, 3.4e-05
   20, 3.8e-05
   20, 3.6e-05
   20, 3.5e-05
   20, 3.6e-05
   20, 3.7e-05
   20, 3.7e-05
   20, 3.7e-05
   20, 3.7e-05
   20, 3.5e-05
   20, 3.7e-05
   20, 3.8e-05
   20, 3.7e-05
   20, 3.4e-05
   20, 3.5e-05
   20, 3.4e-05
   20, 3.5e-05
   20, 3.5e-05
   20, 3.3e-05
   20, 3.5e-05
   20, 3.7e-05
   20, 3.8e-05
   20, 3.7e-05
   20, 3.6e-05
   20, 3.7e-05
   20, 3.7e-05
   20, 3.7e-05
   20, 3.5e-05
   20, 3.8e-05
   20, 3.6e-05
   20, 3.5e-05
   20, 3.6e-05
   20, 3.6e-05
Running code with OMP_NUM_THREADS= 20
  N=  , time (s)
   20, 0.003331
   20, 0.002674
   20, 0.002785
   20, 0.002822
   20, 0.002802
   20, 3.9e-05
   20, 3e-05
   20, 3e-05
   20, 3.1e-05
   20, 3.2e-05
   20, 3.2e-05
   20, 3.3e-05
   20, 3.1e-05
   20, 3.1e-05
   20, 3e-05
   20, 3.2e-05
   20, 3.3e-05
   20, 2.9e-05
   20, 3e-05
   20, 3e-05
   20, 3.3e-05
   20, 3.1e-05
   20, 3.3e-05
   20, 3.3e-05
   20, 3.2e-05
   20, 3.3e-05
   20, 2.9e-05
   20, 3.3e-05
   20, 3.1e-05
   20, 3.5e-05
   20, 3.1e-05
   20, 3.1e-05
   20, 3e-05
   20, 3e-05
   20, 2.9e-05
   20, 3.3e-05
   20, 3.1e-05
   20, 3e-05
   20, 3.7e-05
   20, 3.3e-05
   20, 3e-05
   20, 3e-05
   20, 3.1e-05
   20, 3e-05
   20, 2.9e-05
   20, 3.2e-05
   20, 2.8e-05
   20, 3.2e-05
   20, 2.9e-05
   20, 3.2e-05
   20, 2.7e-05
   20, 3e-05
   20, 3.2e-05
   20, 3.3e-05
   20, 3.1e-05
   20, 3e-05
   20, 3.1e-05
   20, 3.4e-05
   20, 3.1e-05
   20, 3.1e-05
   20, 3.2e-05
   20, 3.2e-05
   20, 2.9e-05
   20, 3.3e-05
   20, 3.2e-05
   20, 3e-05
   20, 3.1e-05
   20, 3.2e-05
   20, 3.2e-05
   20, 3.2e-05
   20, 3.4e-05
   20, 3.1e-05
   20, 2.9e-05
   20, 3e-05
   20, 3e-05
   20, 3.1e-05
   20, 3.2e-05
   20, 3e-05
   20, 3e-05
   20, 3.1e-05
   20, 3.6e-05
   20, 3.2e-05
   20, 3e-05
   20, 3.1e-05
   20, 3.2e-05
   20, 3e-05
   20, 3.2e-05
   20, 3e-05
   20, 2.9e-05
   20, 3.1e-05
   20, 3e-05
   20, 3.2e-05
   20, 3.2e-05
   20, 2.8e-05
   20, 2.8e-05
   20, 3.4e-05
   20, 3.1e-05
   20, 3.2e-05
   20, 3.1e-05
   20, 3e-05
Running code with OMP_NUM_THREADS= 24
  N=  , time (s)
   20, 0.003283
   20, 0.002783
   20, 0.0028
   20, 0.002735
   20, 0.00267
   20, 0.002537
   20, 0.002578
   20, 0.002653
   20, 0.002687
   20, 0.002671
   20, 0.002775
   20, 0.002662
   20, 0.00276
   20, 0.002658
   20, 0.002651
   20, 0.002673
   20, 0.002905
   20, 0.002907
   20, 0.002872
   20, 0.001818
   20, 3.2e-05
   20, 3.3e-05
   20, 3.6e-05
   20, 3.3e-05
   20, 3.2e-05
   20, 3.3e-05
   20, 3.3e-05
   20, 3.3e-05
   20, 3.5e-05
   20, 3.6e-05
   20, 3.5e-05
   20, 3.3e-05
   20, 3.2e-05
   20, 3.4e-05
   20, 3.3e-05
   20, 3.2e-05
   20, 3.5e-05
   20, 4.2e-05
   20, 3.3e-05
   20, 3.5e-05
   20, 3.2e-05
   20, 3.3e-05
   20, 3.4e-05
   20, 3.2e-05
   20, 3.7e-05
   20, 3.4e-05
   20, 3.3e-05
   20, 3.3e-05
   20, 3.2e-05
   20, 3.6e-05
   20, 3.3e-05
   20, 3.4e-05
   20, 4.2e-05
   20, 3.6e-05
   20, 3.7e-05
   20, 3.5e-05
   20, 3.5e-05
   20, 3.4e-05
   20, 3.5e-05
   20, 3.4e-05
   20, 3.6e-05
   20, 3.4e-05
   20, 3.7e-05
   20, 3.2e-05
   20, 3.3e-05
   20, 3.2e-05
   20, 3.3e-05
   20, 3.8e-05
   20, 3.4e-05
   20, 3.3e-05
   20, 4e-05
   20, 3.5e-05
   20, 3.4e-05
   20, 3.5e-05
   20, 3.6e-05
   20, 3.7e-05
   20, 3.8e-05
   20, 3.6e-05
   20, 3.7e-05
   20, 3.3e-05
   20, 3.7e-05
   20, 3.5e-05
   20, 3.6e-05
   20, 3.5e-05
   20, 3.8e-05
   20, 3.6e-05
   20, 3.6e-05
   20, 3.9e-05
   20, 3.5e-05
   20, 3.6e-05
   20, 3.7e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 3.8e-05
   20, 3.7e-05
   20, 3.5e-05
   20, 3.8e-05
   20, 3.6e-05
   20, 3.7e-05
   20, 3.5e-05
JobId=32926633 JobName=mmm_omp
   UserId=freem386(6187794) GroupId=pa(2003) MCS_label=N/A
   Priority=62094 Nice=0 Account=general QOS=freem386
   JobState=RUNNING Reason=None Dependency=(null)
   Requeue=1 Restarts=0 BatchFlag=1 Reboot=0 ExitCode=0:0
   RunTime=00:00:04 TimeLimit=00:10:00 TimeMin=N/A
   SubmitTime=2024-03-21T16:40:28 EligibleTime=2024-03-21T16:40:28
   AccrueTime=2024-03-21T16:40:28
   StartTime=2024-03-21T16:40:44 EndTime=2024-03-21T16:50:44 Deadline=N/A
   SuspendTime=None SecsPreSuspend=0 LastSchedEval=2024-03-21T16:40:44 Scheduler=Backfill
   Partition=general-long AllocNode:Sid=dev-intel18:17522
   ReqNodeList=(null) ExcNodeList=(null)
   NodeList=lac-043
   BatchHost=lac-043
   NumNodes=1 NumCPUs=24 NumTasks=1 CPUs/Task=24 ReqB:S:C:T=0:0:*:*
   ReqTRES=cpu=24,mem=1G,node=1,billing=155
   AllocTRES=cpu=24,mem=1G,node=1,billing=155
   Socks/Node=* NtasksPerN:B:S:C=0:0:*:* CoreSpec=*
   MinCPUsNode=24 MinMemoryNode=1G MinTmpDiskNode=0
   Features=[intel14|intel16|intel18|(amr|acm)|nvf|nal|nif] DelayBoot=00:00:00
   OverSubscribe=OK Contiguous=0 Licenses=(null) Network=(null)
   Command=/mnt/ufs18/home-241/freem386/project-4-openmp-intro-seven-c-s/Freem_Work/submission.sb
   WorkDir=/mnt/ufs18/home-241/freem386/project-4-openmp-intro-seven-c-s/Freem_Work
   Comment=stdout=/mnt/ufs18/home-241/freem386/project-4-openmp-intro-seven-c-s/Freem_Work/slurm-32926633.out 
   StdErr=/mnt/ufs18/home-241/freem386/project-4-openmp-intro-seven-c-s/Freem_Work/slurm-32926633.out
   StdIn=/dev/null
   StdOut=/mnt/ufs18/home-241/freem386/project-4-openmp-intro-seven-c-s/Freem_Work/slurm-32926633.out
   Power=
   

